obs,year,cpi,exchange,export,import,m2,policy,oil,oilchange,unemployment,exportchange,importchange,m2change
60,2562,92.75,30.2233,101.1,93.6,20841010,1.25,51.57,-9.65,0.96,0.4,0.1,138985
61,2563,92.9,30.4348,101,93.7,20876298,1.25,45.13,-6.44,1.07,-0.1,0.1,35288
62,2563,92.83,31.3354,100.5,92.2,20936713,1,20.05,-25.08,1.09,-0.5,-1.6,60415
63,2563,92.03,32.0876,99.5,89.2,21859226,0.75,8.62,-11.43,1.03,-1.0,-3.3,922513
64,2563,90.16,32.6378,98.9,86.9,22288558,0.75,12.77,4.15,,-0.6,-2.6,429332
65,2563,90.17,32.0417,98.9,88.7,22494529,0.5,16.73,3.96,,0.0,2.1,205971
66,2563,91.58,31.1625,99.6,90.5,22435940,0.5,20.9,4.17,,0.7,2.0,-58589
67,2563,92.19,31.4142,100.2,91.4,22552107,0.5,26.57,5.67,2.15,0.6,1.0,116167
68,2563,92.46,31.215,100.5,92.2,22493305,0.5,40.17,13.6,1.86,0.3,0.9,-58802
69,2563,92.36,31.3511,100.5,91.9,22435829,0.5,35.92,-4.25,1.79,0.0,-0.3,-57476
70,2563,92.4,31.2705,100.6,91.7,22522590,0.5,45.29,9.37,2.09,0.1,-0.2,86761
71,2563,92.36,30.477,100.9,92.6,22780346,0.5,48.27,2.98,2,0.3,1.0,257756
72,2563,92.5,30.0965,101.2,94.4,22958439,0.5,51.92,3.65,1.49,0.3,1.9,178093
73,2564,92.59,30.0059,101.9,95.8,22915295,0.5,62.45,10.53,,0.7,1.5,-43144
74,2564,91.74,29.9816,102.5,97.5,23019908,0.5,59.55,-2.9,,0.6,1.8,104613
75,2564,91.95,30.7836,103,98.7,23109674,0.5,63.44,3.89,,0.5,1.2,89766
76,2564,93.22,31.333,102.8,98.3,23239804,0.5,66.94,3.5,,-0.2,-0.4,130130
77,2564,92.37,31.2956,103.2,99.6,23282599,0.5,73.77,6.83,,0.4,1.3,42795
78,2564,92.72,31.437,103.4,101,23095124,0.5,73.94,0.17,,0.2,1.4,-187475
79,2564,92.61,32.6061,103.5,101.5,23266534,0.5,68.64,-5.3,,0.1,0.5,171410
80,2564,92.44,33.1177,103.4,100.8,23374555,0.5,75.44,6.8,,-0.1,-0.7,108021
81,2564,93.91,33.0298,103.7,102.2,23517109,0.5,83.34,7.9,,0.3,1.4,142554
82,2564,94.6,33.4825,104.6,104.6,23728417,0.5,67.47,-15.87,,0.9,2.3,211308
83,2564,94.87,33.0887,104.8,104.9,23824363,0.5,75.63,8.16,,0.2,0.3,95946
84,2564,94.51,33.5636,104.7,104.3,24061617,0.5,88.8,13.17,,-0.1,-0.6,237254
85,2565,95.58,33.2401,105.5,106.6,24089550,0.5,97.25,8.45,1.9,0.8,2.2,27933
86,2565,96.58,32.6739,106.4,109.3,24269541,0.5,102.19,4.94,1.4,0.9,2.5,179991
87,2565,97.23,33.2447,107.6,113,24559711,0.5,104.78,2.59,1.2,1.1,3.4,290170
88,2565,97.56,33.8126,108,112.4,24633637,0.5,116.2,11.42,1.3,0.4,-0.5,73926
89,2565,98.92,34.4105,108.4,113.9,24636314,0.5,107.75,-8.45,1.6,0.4,1.3,2677
90,2565,99.81,34.968,108.9,114.8,24545875,0.5,99.61,-8.14,1.4,0.5,0.8,-90439
91,2565,99.66,36.3335,108.3,113.7,24521365,0.5,89.83,-9.78,1.3,-0.6,-1.0,-24510
92,2565,99.7,35.8761,108.2,113,24593045,0.75,80.03,-9.8,1.22,-0.1,-0.6,71680
93,2565,99.92,37.0344,107.9,112,24590623,1,86.88,6.85,1.15,-0.3,-0.9,-2422
94,2565,100.26,37.9194,107.9,112.2,24728608,1.25,81.05,-5.83,1.4,0.0,0.2,137985
95,2565,100.13,36.4299,108,111.6,24956718,1.25,80.55,-0.5,1.15,0.1,-0.5,228110
96,2565,100.08,34.7932,108,111,25001879,1.25,79.03,-1.52,0.96,0.0,-0.5,45161
97,2566,100.37,33.2294,108.7,112.4,24975379,1.5,76.53,-2.5,1.22,0.6,1.3,-26500
98,2566,100.25,34.0059,108.6,112.1,25122900,1.5,75.57,-0.96,0.88,-0.1,-0.3,147521
99,2566,99.99,34.5012,108.6,111.1,25234947,1.75,76.12,0.55,1.03,0.0,-0.9,112047
100,2566,100.17,34.28,109,112.1,25199189,1.75,67.75,-8.37,1.03,0.4,0.9,-35758
101,2566,99.45,34.242,108.7,109.8,25093785,2,70.37,2.62,1.28,-0.3,-2.1,-105404
102,2566,100.05,34.9129,108.5,108.8,24973778,2,81.7,11.33,0.89,-0.2,-0.9,-120007
